Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason,
108681,Dog,Treble,Pit Bull,09/02/2017,Adopted,ACO Impound,08/21/2017,Yes,08/28/2017,12,,,
109112,Dog,Danny Boy,Shiba Inu,09/02/2017,Reclaimed,ACO Impound,09/01/2017,,,1,,,
108384,Dog,Balto,Siberian Husky,09/02/2017,Adopted,Returns,08/26/2017,Yes,08/21/2017,7,Not good with kids,Aggressive towards people-6,
108954,Puppy,Nelson,Medium Mix Breed,09/02/2017,Adopted,Stray,08/27/2017,Behaviour,09/01/2017,6,,,
102781,Dog,Snow White,Pit Bull,09/02/2017,Adopted,ACO Impound,08/23/2017,Yes,03/20/2017,10,,,
108790,Dog,Charlotte,Medium Mix Breed,09/02/2017,Adopted,ACO Impound,08/23/2017,Yes,08/30/2017,10,,,
108790,Dog,Charlotte,Medium Mix Breed,09/02/2017,Adopted,Returns,09/02/2017,Yes,08/30/2017,0,,,
108929,Dog,Kavi,Medium Mix Breed,09/02/2017,Adopted,Owner Surrender,08/27/2017,Yes,09/01/2017,6,Divorce/Separation,,
108766,Dog,Red,Medium Mix Breed,09/02/2017,Adopted,ACO Impound,08/23/2017,Yes,08/30/2017,10,,,
108883,Dog,Faelyn,Large Mix Breed,09/02/2017,Adopted,ACO Impound,08/26/2017,Yes,09/01/2017,7,,,
109144,Dog,Sierra,Terrier,09/02/2017,Reclaimed,ACO Impound,09/01/2017,,,1,,,
108979,Dog,Tabby,Coonhound,09/02/2017,Adopted,Stray,08/28/2017,Yes,09/01/2017,5,,,
109046,Puppy,Scrappy,Large Mix Breed,09/02/2017,Adopted,Owner Surrender,08/30/2017,,09/01/2017,3,Landlord won't allow,,
109168,Dog,Brutus,Pit Bull,09/02/2017,Euthanized,Euthanasia Request,09/02/2017,,,0,,Owner request -1,
108819,Dog,larson - Rescue?,Large Mix Breed,09/02/2017,Euthanized,ACO Impound,08/25/2017,No,08/30/2017,8,,Failure to pass behavior evaluation-6,
108916,Dog,Behave Check,Pit Bull,09/02/2017,Euthanized,ACO Impound,08/27/2017,,,6,,Aggressive towards people-6,
107873,Dog,Celina,Pit Bull,09/03/2017,Reclaimed,Returns,09/02/2017,Yes,08/07/2017,1,,,
108888,Dog,Fudge,Dogue De Bordeaux,09/03/2017,Adopted,ACO Impound,08/26/2017,Yes,09/01/2017,8,,,
109122,Puppy,King,Pit Bull,09/03/2017,Reclaimed,Stray,09/01/2017,,,2,,,
109157,Puppy,Brutus,Pit Bull,09/03/2017,Reclaimed,ACO Impound,09/02/2017,,,1,,,
,,,,,,,,,,,,,
102729,Dog,Jafar,Large Mix Breed,09/03/2017,Reclaimed,Owner Surrender,09/02/2017,Yes,,1,No time for animal,,
108699,Dog,Garcon,Papillon,09/03/2017,Transfer Out,Euthanasia Request,08/21/2017,,,13,,Owner request -1,
108623,Dog,Tilly,Pit Bull,09/03/2017,Adopted,Stray,08/20/2017,Yes,08/25/2017,14,,,
108871,Dog,Rafala,Pit Bull,09/03/2017,Adopted,ACO Impound,08/25/2017,Yes,,9,,,
109135,Dog,Bella,Pit Bull,09/03/2017,Reclaimed,Stray,09/01/2017,,,2,,,
108598,Puppy,Kiwi,Pit Bull,09/03/2017,Adopted,Stray,08/19/2017,Yes,08/25/2017,15,,,
101686,Dog,Conrad,Pit Bull,09/03/2017,Adopted,Owner Surrender,08/26/2017,Yes,02/17/2017,8,Health of the animal - Debilitating Injury,,
108205,Dog,Arthur,Pit Bull,09/03/2017,Adopted,Stray,08/10/2017,Yes,08/14/2017,24,,,
81760,Dog,Brownie,Medium Mix Breed,09/03/2017,Adopted,Owner Surrender,08/22/2017,Yes,09/04/2015,12,"FINANCIAL -- Cannot afford (food,",,
108901,Dog,Toma,Rhodesian Ridgeback,09/03/2017,Adopted,Owner Surrender,08/26/2017,Yes,,8,Landlord won't allow,,
106775,Puppy,Gibbs,Small Terrier Mix,09/03/2017,Adopted,Stray,07/04/2017,,08/01/2017,61,,,
107649,Puppy,Frenchie,Small Mix Breed,09/03/2017,Adopted,ACO Impound,07/26/2017,,08/16/2017,39,,,
109192,Dog,Roxy,Yorkshire Terrier,09/03/2017,Seized Release,ACO Impound,09/03/2017,,,0,,,
108480,Dog,Tucker,Pit Bull,09/03/2017,Adopted,ACO Impound,08/16/2017,Yes,08/23/2017,18,,,
108943,Dog,Nala,Large Mix Breed,09/03/2017,Adopted,Owner Surrender,08/27/2017,Yes,09/01/2017,7,Moving - No pets allowed,,
